REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
10/26/2015 18:45,THEFT/OTHER,OTHERS,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,1,2,2C,005900 1,5900,398508,136963
10/26/2015 7:40,BURGLARY,OTHERS,5100 - 5299 BLOCK OF BASS PLACE SE,6,7,7E,009905 1,9905,406322,135301
10/26/2015 18:52,ASSAULT W/DANGEROUS WEAPON,OTHERS,GOOD HOPE ROAD SE AND 18TH STREET SE,7,8,8A,007605 3,7605,401821.25,133094.09
10/26/2015 20:40,ROBBERY,GUN,9TH STREET NW AND INGRAHAM STREET NW,4,4,4D,002101 4,2101,397776.31,142915.49
10/26/2015 19:30,BURGLARY,OTHERS,1200 - 1299 BLOCK OF R STREET NW,3,2,2F,005001 1,5001,397505,138305
10/26/2015 21:42,ASSAULT W/DANGEROUS WEAPON,OTHERS,5900  - 5999 BLOCK OF 2ND PLACE NW,4,4,4B,001902 1,1902,398708,143788
10/26/2015 11:00,THEFT/OTHER,OTHERS,4400  - 4499 BLOCK OF 14TH STREET NW,4,4,4C,002501 2,2501,397162,141848
10/26/2015 20:00,MOTOR VEHICLE THEFT,OTHERS,3400 - 3499 BLOCK OF 24TH STREET SE,7,8,8B,007409 1,7409,402542,131003
10/27/2015 1:00,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF 23RD STREET NW,2,2,2A,005600 4,5600,395652,137055
10/26/2015 18:00,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF RHODE ISLAND AVENUE NW,2,2,2F,005201 3,5201,397115,137836
11/10/2015 18:49,ASSAULT W/DANGEROUS WEAPON,KNIFE,3600 - 3699 BLOCK OF 12TH STREET NE,5,5,5B,009301 2,9301,400770,140681
11/10/2015 18:20,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF N STREET NW,3,2,2F,004902 2,4902,397833,137709
11/10/2015 20:10,ROBBERY,OTHERS,3700  - 3704 BLOCK OF KANSAS AVENUE NW,4,4,4C,002502 3,2502,397412.75,140967.7
10/17/2015 23:59,ASSAULT W/DANGEROUS WEAPON,OTHERS,700 - 999 BLOCK OF LAMONT STREET NW,3,1,1A,003100 1,3100,397830,140337
10/18/2015 0:47,THEFT/OTHER,OTHERS,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,1,2,2C,005900 1,5900,398508,136963
10/18/2015 2:03,THEFT/OTHER,OTHERS,2400 - 2499 BLOCK OF 18TH STREET NW,3,1,1C,004002 1,4002,396326,139306
10/17/2015 23:34,THEFT/OTHER,OTHERS,6200  - 6299 BLOCK OF 12TH STREET NW,4,4,4A,001804 2,1804,397526,144181
10/18/2015 3:12,THEFT F/AUTO,OTHERS,300 - 399 BLOCK OF T STREET NE,5,5,5E,008702 2,8702,399888,138633
10/18/2015 1:00,THEFT F/AUTO,OTHERS,1200 - 1221 BLOCK OF 17TH STREET NW,2,2,2B,010700 2,10700,396660,137583
10/18/2015 3:46,THEFT/OTHER,OTHERS,1909 - 1999 BLOCK OF 14TH STREET SE,7,8,8A,007503 1,7503,401280,133168
10/18/2015 2:30,THEFT F/AUTO,OTHERS,3000 - 3099 BLOCK OF NELSON PLACE SE,6,7,7B,009901 1,9901,403107,134153
10/17/2015 23:00,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF C STREET SE,1,6,6B,006900 1,6900,400928,135279
10/18/2015 9:57,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF H STREET NW,1,6,6E,004702 1,4702,399078,136928
10/18/2015 0:06,MOTOR VEHICLE THEFT,OTHERS,2500 - 2999 BLOCK OF SOUTHERN AVENUE SE,7,8,8B,007403 1,7403,402901.7114,131166.9402
10/18/2015 11:30,THEFT F/AUTO,OTHERS,400 - 423 BLOCK OF 34TH STREET NE,6,7,7D,009604 2,9604,403686,136373
10/17/2015 20:20,THEFT F/AUTO,OTHERS,2300 - 2599 BLOCK OF 9TH STREET NW,3,1,1B,003500 2,3500,397893.86,139390.39
10/18/2015 12:29,THEFT F/AUTO,OTHERS,2300 2399  BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007601 1,7601,402423,134032
10/18/2015 10:30,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF L STREET NW,2,2,2B,010700 1,10700,396745.22,137321.02
10/8/2015 5:30,THEFT F/AUTO,OTHERS,2000 - 2099 BLOCK OF VERMONT AVENUE NW,3,1,1B,004400 1,4400,397832.99,138854.72
10/8/2015 15:26,THEFT/OTHER,OTHERS,3900  - 3999 BLOCK OF GEORGIA AVENUE NW,4,4,4C,002502 1,2502,397847,141258
10/8/2015 14:30,THEFT F/AUTO,OTHERS,2600 - 2699 BLOCK OF GARFIELD STREET NW,2,3,3C,000502 1,502,395291,139866
10/7/2015 7:30,THEFT F/AUTO,OTHERS,1100 - 1149 BLOCK OF 1ST PLACE NW,1,6,6E,004701 1,4701,399133.3,137366.08
10/8/2015 13:00,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,3,3E,001001 1,1001,392607,143559
10/8/2015 12:00,THEFT/OTHER,OTHERS,700 - 899 BLOCK OF MT VERNON PLACE NW,3,2,2C,005800 1,5800,398006.6,137232.25
10/8/2015 13:40,ROBBERY,GUN,4800 - 4999 BLOCK OF FORT TOTTEN DRIVE NE,4,5,5A,009501 1,9501,399409,142466
10/8/2015 19:54,ASSAULT W/DANGEROUS WEAPON,OTHERS,12TH ST EXPRESSWAY AND 12TH STREET NW,1,2,2C,006202 1,6202,397558.9812,136027.0935
10/8/2015 20:40,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,2,2C,005800 1,5800,397328,136611
10/8/2015 21:20,THEFT F/AUTO,OTHERS,400 497  BLOCK OF L STREET NW,1,6,6E,004701 2,4701,398477.73,137319.93
10/8/2015 21:47,THEFT/OTHER,OTHERS,2206 - 2399 BLOCK OF RHODE ISLAND AVENUE NE,5,5,5C,009400 2,9400,402348,140306
10/8/2015 22:35,MOTOR VEHICLE THEFT,OTHERS,2500 - 2599 BLOCK OF N STREET SE,6,7,7B,007709 1,7709,402712,134143
10/8/2015 18:45,THEFT/OTHER,OTHERS,703 - 799 BLOCK OF 9TH STREET NW,1,2,2C,005800 1,5800,397921,136842
