REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
9/21/2015 17:30,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF FLORIDA AVENUE NW,3,1,1B,004400 1,4400,397328,139157
9/21/2015 18:40,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF P STREET NW,2,2,2B,005301 3,5301,396746.97,137976.41
9/21/2015 17:00,THEFT F/AUTO,OTHERS,1900 - 1999 BLOCK OF NEW HAMPSHIRE AVENUE NW,3,2,2B,004201 1,4201,396773,138715
9/21/2015 19:20,THEFT/OTHER,OTHERS,4200  - 4205 BLOCK OF KANSAS AVENUE NW,4,4,4C,002501 1,2501,397765,141576
9/21/2015 18:59,THEFT F/AUTO,OTHERS,600 - 699 BLOCK OF C STREET SE,1,6,6B,006600 1,6600,400232,135355
9/21/2015 19:10,BURGLARY,OTHERS,800 - 899 BLOCK OF 20TH STREET NE,5,5,5D,008904 1,8904,402152,137048
9/21/2015 9:20,BURGLARY,OTHERS,1400 - 1429 BLOCK OF S STREET NW,3,2,2F,005201 4,5201,397172,138470
9/21/2015 9:00,BURGLARY,OTHERS,2500 - 2531 BLOCK OF NORTH CAPITOL STREET,5,5,5E,003301 1,3301,399216,139448
9/21/2015 20:00,THEFT F/AUTO,OTHERS,1127 - 1199 BLOCK OF 1ST STREET NW,1,6,6E,004701 2,4701,398944,137478
9/21/2015 20:27,THEFT F/AUTO,OTHERS,400 497  BLOCK OF L STREET NW,1,6,6E,004701 2,4701,398477,137319
9/21/2015 18:30,THEFT F/AUTO,OTHERS,600 - 699 BLOCK OF C STREET SE,1,6,6B,006600 1,6600,400232.6339,135355.6971
9/21/2015 18:45,THEFT F/AUTO,OTHERS,1900 - 1999 BLOCK OF 12TH STREET NW,3,1,1B,004400 2,4400,397564,138713
9/21/2015 21:10,ROBBERY,OTHERS,410 - 499 BLOCK OF Q STREET NW,3,6,6E,004801 1,4801,398449,138139
9/21/2015 22:18,ROBBERY,GUN,WHITTIER STREET NW AND 4TH STREET NW,4,4,4B,001702 1,1702,398437.7,144817.84
9/21/2015 17:01,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF SIMMS PLACE NE,5,5,5D,008804 2,8804,401388,137908
9/21/2015 20:00,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF KENYON STREET NW,3,1,1A,003000 1,3000,397281,140197
9/21/2015 23:00,THEFT/OTHER,OTHERS,900 - 915 BLOCK OF NEW HAMPSHIRE AVENUE NW,2,2,2A,005600 4,5600,395521,137007
9/21/2015 23:35,ROBBERY,GUN,100 - 379 BLOCK OF MICHIGAN AVENUE NE,4,5,5A,002302 1,2302,399610,140102
9/22/2015 0:45,BURGLARY,OTHERS,1800 - 1899 BLOCK OF CALIFORNIA STREET NW,3,1,1C,004002 2,4002,396275,138884
9/26/2015 14:33,MOTOR VEHICLE THEFT,OTHERS,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,5,5,5D,008803 1,8803,401728,138813
9/25/2015 20:00,THEFT F/AUTO,OTHERS,1300 - 1499 BLOCK OF MASSACHUSETTS AVENUE NW,2,2,2F,005201 1,5201,397216,137538
9/26/2015 13:00,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF KINGMAN PLACE NW,3,2,2F,005001 2,5001,397320,138058
9/26/2015 9:45,BURGLARY,OTHERS,100 - 199 BLOCK OF 16TH STREET NE,1,6,6A,008002 1,8002,401543,135958
9/26/2015 15:35,ASSAULT W/DANGEROUS WEAPON,OTHERS,2600 - 2631 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,007401 2,7401,400393.6625,132326.3502
9/26/2015 13:00,THEFT F/AUTO,OTHERS,4611 - 4699 BLOCK OF BENNING ROAD SE,6,7,7F,009907 2,9907,405602.46,135224.4
10/8/2015 22:23,ROBBERY,OTHERS,1900 - 1922 BLOCK OF 2ND STREET NW,5,1,1B,003400 1,3400,398751,138690
10/8/2015 21:56,THEFT/OTHER,OTHERS,4300  - 4399 BLOCK OF IOWA AVENUE NW,4,4,4C,002501 1,2501,397689,141711
9/22/2015 16:25,THEFT/OTHER,OTHERS,1800 - 1823 BLOCK OF 14TH STREET NW,3,2,2B,004300 2,4300,397228,138511
9/23/2015 11:05,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF CONSTITUTION AVENUE NE,1,6,6A,008002 1,8002,401605.88,136018.27
9/23/2015 8:00,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 9TH STREET NW,1,2,2C,005800 1,5800,397920,136943
9/22/2015 18:00,THEFT F/AUTO,OTHERS,200 - 299 BLOCK OF 9TH STREET SE,1,6,6B,006700 3,6700,400541,135441
9/22/2015 21:00,THEFT F/AUTO,OTHERS,2600 2628  BLOCK OF BOWEN ROAD SE,7,8,8A,007407 2,7407,400706,132391
9/23/2015 12:01,ROBBERY,GUN,3300 - 3399 BLOCK OF STANTON ROAD SE,7,8,8E,007403 1,7403,401729,130942
9/23/2015 10:00,THEFT F/AUTO,OTHERS,7800  - 7899 BLOCK OF 12TH STREET NW,4,4,4A,001600 1,1600,397522,146343
9/23/2015 11:30,THEFT F/AUTO,OTHERS,1400  - 1599 BLOCK OF MADISON STREET NW,4,4,4A,002001 2,2001,396974,143383
9/23/2015 11:57,BURGLARY,OTHERS,100  - 199 BLOCK OF JEFFERSON STREET NW,4,4,4D,002102 3,2102,398906,143076
9/23/2015 11:23,THEFT F/AUTO,OTHERS,5700 - 5799 BLOCK OF DIX STREET NE,6,7,7C,007808 3,7808,407074,136309
9/23/2015 14:14,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF E STREET NE,1,6,6A,008001 2,8001,401135,136474
9/23/2015 9:00,THEFT F/AUTO,OTHERS,1400  - 1499 BLOCK OF IRIS STREET NW,4,4,4A,001600 3,1600,396978,146039
9/23/2015 13:14,THEFT/OTHER,OTHERS,100  - 199 BLOCK OF CARROLL STREET NW,4,4,4B,001702 2,1702,398758,145213
9/23/2015 13:12,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 8TH STREET NW,1,2,2C,005800 1,5800,398008.76,136535.99
9/23/2015 13:33,THEFT/OTHER,OTHERS,1000 - 1025 BLOCK OF WISCONSIN AVENUE NW,2,2,2E,000202 4,202,394555,137240
9/23/2015 14:29,ASSAULT W/DANGEROUS WEAPON,KNIFE,4400 4599  BLOCK OF 3RD STREET SE,7,8,8D,009810 1,9810,399874,128589
9/23/2015 15:04,ASSAULT W/DANGEROUS WEAPON,GUN,1600 - 1699 BLOCK OF KRAMER STREET NE,5,6,6A,007901 4,7901,401657,136664
9/23/2015 15:54,ROBBERY,OTHERS,400 - 499 BLOCK OF 8TH STREET SE,1,6,6B,007000 2,7000,400436,135043
9/23/2015 11:55,THEFT/OTHER,OTHERS,4000  - 4099 BLOCK OF 14TH STREET NW,4,4,4C,002502 4,2502,397162,141376
9/27/2015 14:45,THEFT/OTHER,OTHERS,2608 - 2699 BLOCK OF SHERIDAN ROAD SE,7,8,8C,007406 2,7406,400573,132129
9/28/2015 11:17,THEFT/OTHER,OTHERS,5600  - 5699 BLOCK OF GEORGIA AVENUE NW,4,4,4C,002002 2,2002,397553,143323
9/28/2015 12:05,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF F STREET NW,1,2,2C,005800 1,5800,397834,136610
9/27/2015 23:45,MOTOR VEHICLE THEFT,OTHERS,5100 5199  BLOCK OF SHERIFF ROAD NE,6,7,7C,007809 1,7809,406451,137312
10/23/2015 22:07,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF H STREET NW,1,2,2C,005800 1,5800,397965,136884
10/23/2015 21:00,BURGLARY,OTHERS,5300 - 5499 BLOCK OF DRAKE PLACE SE,6,7,7E,009905 3,9905,406466,134968
10/23/2015 22:01,THEFT F/AUTO,OTHERS,L STREET NW AND 4TH STREET NW,1,6,6E,004701 2,4701,398596.98,137320.09
10/23/2015 21:53,ROBBERY,KNIFE,2000 - 2029 BLOCK OF 9TH STREET NW,3,1,1B,004400 1,4400,397923,138834
10/23/2015 19:30,THEFT/OTHER,OTHERS,1240 - 1399 BLOCK OF NEW YORK AVENUE NE,5,5,5C,008803 1,8803,401165,138586
10/24/2015 0:16,THEFT F/AUTO,OTHERS,3000 - 3099 BLOCK OF 15TH STREET NW,3,1,1A,002802 1,2802,396891,139999
10/23/2015 23:35,ASSAULT W/DANGEROUS WEAPON,OTHERS,1800 - 1899 BLOCK OF PROVIDENCE STREET NE,5,5,5D,008803 1,8803,401319,138348
10/23/2015 11:45,THEFT F/AUTO,OTHERS,400  - 499 BLOCK OF ASPEN STREET NW,4,4,4B,001702 1,1702,398356,144936
10/24/2015 1:30,ROBBERY,GUN,4400 - 4438 BLOCK OF E STREET SE,6,7,7F,009907 2,9907,405380,135039
10/24/2015 3:03,ASSAULT W/DANGEROUS WEAPON,GUN,2732 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,010400 2,10400,400335,131003
10/24/2015 3:25,THEFT F/AUTO,OTHERS,1100 - 1199 BLOCK OF 6TH STREET NW,3,6,6E,004802 2,4802,398273,137449
10/14/2015 15:47,ASSAULT W/DANGEROUS WEAPON,KNIFE,3904 - 3999 BLOCK OF MINNESOTA AVENUE NE,6,7,7F,009603 2,9603,404370,136293
10/24/2015 7:00,THEFT F/AUTO,OTHERS,400  - 499 BLOCK OF RITTENHOUSE STREET NW,4,4,4B,001902 2,1902,398356,144115
10/24/2015 8:47,MOTOR VEHICLE THEFT,OTHERS,1100 - 1399 BLOCK OF STEVENS ROAD SE,7,8,8C,007401 1,7401,400010,132393
10/24/2015 8:20,MOTOR VEHICLE THEFT,OTHERS,900 - 913 BLOCK OF FLORIDA AVENUE NW,3,1,1B,004400 1,4400,397900,138911
10/28/2015 21:58,ASSAULT W/DANGEROUS WEAPON,KNIFE,3500 - 3599 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,010400 1,10400,399591,130218
10/28/2015 4:00,MOTOR VEHICLE THEFT,OTHERS,600 - 799 BLOCK OF 24TH STREET NE,5,5,5D,008904 1,8904,402399,136856
10/28/2015 23:07,THEFT/OTHER,OTHERS,330 - 399 BLOCK OF K STREET SE,1,6,6D,007200 1,7200,399920,134507
10/26/2015 22:35,THEFT/OTHER,OTHERS,1700 - 1799 BLOCK OF 8TH STREET NW,3,6,6E,004901 1,4901,398010,138387
10/28/2015 23:18,THEFT F/AUTO,OTHERS,3700 - 3799 BLOCK OF ALBEMARLE STREET NW,2,3,3F,001200 3,1200,393620,142224
10/23/2015 7:00,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF H STREET NW,1,2,2C,005900 1,5900,398476,136882
10/29/2015 0:00,THEFT/OTHER,OTHERS,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,1,2,2C,005900 1,5900,398508,136963
10/28/2015 17:00,ASSAULT W/DANGEROUS WEAPON,GUN,4200 - 4283 BLOCK OF 6TH STREET SE,7,8,8D,009811 1,9811,400130,128889
10/28/2015 20:00,BURGLARY,OTHERS,4000 - 4017 BLOCK OF LIVINGSTON ROAD SE,7,8,8D,009810 1,9810,399687,129133
10/29/2015 1:45,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 2ND STREET NE,5,6,6C,010600 2,10600,399695,137774
10/28/2015 22:00,THEFT F/AUTO,OTHERS,100 - 379 BLOCK OF MICHIGAN AVENUE NE,4,5,5A,002302 1,2302,399610,140102
9/25/2015 0:53,ROBBERY,OTHERS,3200 - 3398 BLOCK OF 6TH STREET SE,7,8,8C,009804 2,9804,400134,130521
9/25/2015 1:49,THEFT/OTHER,OTHERS,1000 - 1299 BLOCK OF SOUTH CAPITOL STREET,1,6,6D,007200 2,7200,399210.55,134299.54
9/25/2015 2:21,THEFT/OTHER,OTHERS,400 - 405 BLOCK OF 6TH STREET SW,1,6,6D,010200 1,10200,398272,135172
9/25/2015 3:36,THEFT F/AUTO,OTHERS,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,5,5,5C,011100 3,11100,402158,138824
9/25/2015 4:30,THEFT F/AUTO,OTHERS,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,5,5,5C,011100 3,11100,402158,138824
9/25/2015 4:09,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF WEST VIRGINIA AVENUE NE,5,5,5D,008802 3,8802,400793,137569
9/25/2015 5:30,ROBBERY,GUN,300 - 499 BLOCK OF 40TH STREET NE,6,7,7F,009603 2,9603,404600,136168
9/23/2015 14:23,THEFT/OTHER,OTHERS,1  - 199 BLOCK OF WALNUT STREET NW,4,4,4B,001702 2,1702,398969,144917
9/25/2015 7:00,THEFT/OTHER,OTHERS,1500 1699  BLOCK OF ALABAMA AVENUE SE,7,8,8E,007304 1,7304,401601,130970
9/24/2015 0:10,THEFT F/AUTO,OTHERS,1 - 99 BLOCK OF P STREET NW,5,5,5E,004600 1,4600,399080,137975
9/24/2015 17:30,THEFT F/AUTO,OTHERS,1 - 99 BLOCK OF GIRARD STREET NE,5,5,5E,009203 1,9203,399361,139796
9/24/2015 10:00,THEFT/OTHER,OTHERS,1200 - 1219 BLOCK OF CONNECTICUT AVENUE NW,2,2,2B,010700 2,10700,396412,137579
9/25/2015 9:58,THEFT F/AUTO,OTHERS,2100 - 2199 BLOCK OF 14TH STREET NW,3,1,1B,004300 1,4300,397229,138975
9/25/2015 9:30,THEFT F/AUTO,OTHERS,400 - 469 BLOCK OF 9TH STREET NE,1,6,6A,008100 1,8100,400541,136389
9/25/2015 10:45,ROBBERY,OTHERS,700  - 799 BLOCK OF HAMILTON STREET NW,4,4,4D,002101 3,2101,398005,142793
9/24/2015 20:47,ASSAULT W/DANGEROUS WEAPON,OTHERS,3920 - 3999 BLOCK OF BENNING ROAD NE,6,7,7F,009603 2,9603,404569,136275
9/30/2015 9:36,THEFT F/AUTO,OTHERS,1705 - 1799 BLOCK OF 6TH STREET NW,3,6,6E,004801 1,4801,398274,138411
9/30/2015 9:37,THEFT/OTHER,OTHERS,1 - 7 BLOCK OF DUPONT CIRCLE NW,2,2,2B,005500 5,5500,396171,137945
9/30/2015 10:31,ROBBERY,GUN,500 - 699 BLOCK OF MELLON STREET SE,7,8,8C,010400 2,10400,400133,130948
9/30/2015 10:41,THEFT/OTHER,OTHERS,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,2,2,2B,010700 1,10700,396559,137255
9/30/2015 9:30,THEFT F/AUTO,OTHERS,1900 - 1999 BLOCK OF 8TH STREET NW,3,1,1B,004400 2,4400,398010,138697
9/29/2015 11:00,THEFT/OTHER,OTHERS,3500 - 3899 BLOCK OF JAY STREET NE,6,7,7D,009602 1,9602,404579,137347
9/30/2015 10:51,ASSAULT W/DANGEROUS WEAPON,OTHERS,4600 - 4899 BLOCK OF B STREET SE,6,7,7E,009906 1,9906,405711,135520
9/30/2015 10:50,BURGLARY,OTHERS,900 - 999 BLOCK OF HILLTOP TERRACE SE,6,7,7E,007707 2,7707,405429,134623
9/29/2015 13:15,THEFT/OTHER,OTHERS,700 - 900 BLOCK OF 4TH STREET SW,1,6,6D,010200 1,10200,398476,134716
9/30/2015 9:40,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF H STREET NW,1,2,2C,005800 1,5800,397496,136885
9/30/2015 11:45,THEFT/OTHER,OTHERS,100  - 199 BLOCK OF INGRAHAM STREET NW,4,4,4D,002102 3,2102,398910,142957
9/28/2015 8:15,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF L STREET NW,3,2,2F,010100 1,10100,397329,137320
9/30/2015 11:30,THEFT F/AUTO,OTHERS,3500 - 3599 BLOCK OF 13TH STREET NW,4,1,1A,002900 2,2900,397422,140620
9/26/2015 15:00,THEFT F/AUTO,OTHERS,1100 - 1299 BLOCK OF KENYON STREET NW,3,1,1A,003000 1,3000,397509,140198
9/26/2015 15:51,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,3,3E,001001 1,1001,392607,143559
9/26/2015 15:00,THEFT F/AUTO,OTHERS,1325  - 1399 BLOCK OF SPRING ROAD NW,4,1,1A,002900 2,2900,397243,140995
9/26/2015 16:27,ASSAULT W/DANGEROUS WEAPON,GUN,800 - 899 BLOCK OF 8TH STREET NE,1,6,6A,010600 3,10600,400437,136990
9/26/2015 2:00,THEFT/OTHER,OTHERS,2300 - 2399 BLOCK OF 18TH STREET NW,3,1,1C,004002 1,4002,396370,139140
9/26/2015 17:09,MOTOR VEHICLE THEFT,OTHERS,3800 - 3899 BLOCK OF EAST CAPITOL STREET,6,7,7D,009604 1,9604,403519,135791
9/26/2015 13:30,THEFT F/AUTO,OTHERS,1100 - 1199 BLOCK OF ABBEY PLACE NE,1,6,6C,010600 2,10600,399887.38,137425.49
9/26/2015 16:00,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF H STREET NE,1,6,6C,008302 1,8302,400233,136927
9/26/2015 12:00,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF MARION STREET NW,3,6,6E,004801 1,4801,398185.29,138225.33
9/26/2015 18:40,THEFT/OTHER,OTHERS,E STREET NE AND 18TH STREET NE,5,6,6A,007901 2,7901,401875.95,136473.78
9/25/2015 1:30,THEFT/OTHER,OTHERS,1600 - 1699 BLOCK OF 11TH STREET NW,3,2,2F,005001 1,5001,397655,138222
9/26/2015 19:05,THEFT F/AUTO,OTHERS,500  - 699 BLOCK OF SHERIDAN STREET NW,4,4,4B,001901 3,1901,398165,144246
9/26/2015 19:29,THEFT/OTHER,OTHERS,500 - 503 BLOCK OF 12TH STREET SE,1,6,6B,006900 1,6900,400846,134967
9/25/2015 12:42,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF E STREET SE,1,6,6B,007000 1,7000,399995,134987
9/26/2015 19:42,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF CORCORAN STREET NW,3,2,2F,005001 2,5001,397330,138223.2
9/26/2015 19:06,THEFT/OTHER,OTHERS,1400 - 1599 BLOCK OF NEWTON STREET NW,4,1,1A,002802 2,2802,396999,140521
9/26/2015 20:26,THEFT/OTHER,OTHERS,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5,5C,009102 2,9102,400840,139142
9/26/2015 20:56,THEFT/OTHER,OTHERS,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001804 2,1804,397577,143785
10/1/2015 21:00,MOTOR VEHICLE THEFT,OTHERS,3000 - 3399 BLOCK OF BENNING ROAD NE,6,7,7D,009604 2,9604,403567,136542
10/1/2015 20:20,THEFT F/AUTO,OTHERS,1110 - 1123 BLOCK OF 4TH STREET NW,1,6,6E,004701 2,4701,398596.77,137383.55
10/1/2015 21:32,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF T STREET NW,3,1,1B,004400 2,4400,397329,138634
10/1/2015 20:30,ASSAULT W/DANGEROUS WEAPON,OTHERS,600 - 799 BLOCK OF 24TH STREET NE,5,5,5D,008904 1,8904,402399,136856
10/1/2015 22:16,THEFT/OTHER,OTHERS,2000 - 2016 BLOCK OF P STREET NW,2,2,2B,005500 5,5500,396069,137976
10/1/2015 21:50,THEFT/OTHER,OTHERS,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5,5C,009102 2,9102,400840,139142
10/1/2015 22:01,ROBBERY,GUN,2400 - 2599 BLOCK OF ELVANS ROAD SE,7,8,8B,007406 2,7406,401004,131818
10/1/2015 21:45,ROBBERY,OTHERS,3400 - 3513 BLOCK OF MINNESOTA AVENUE SE,6,7,7B,007708 2,7708,403784,135262
10/1/2015 22:20,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF MOUNT OLIVET ROAD NE,5,5,5D,008804 2,8804,401427,137980
10/1/2015 13:00,THEFT/OTHER,OTHERS,1700 - 1799 BLOCK OF CHURCH STREET NW,2,2,2B,005301 2,5301,396523,138059
10/2/2015 0:18,THEFT F/AUTO,OTHERS,2200 - 2299 BLOCK OF PROUT STREET SE,6,8,8A,007601 1,7601,402234,133910
9/28/2015 11:46,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,2,2C,005800 1,5800,397497,136718
9/28/2015 12:39,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF 10TH STREET NW,3,2,2F,004902 2,4902,397746,137450
9/28/2015 11:30,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF DUNCAN STREET NE,1,6,6A,008001 2,8001,401337.97,136394.55
9/28/2015 11:55,ROBBERY,OTHERS,5700 - 5749 BLOCK OF CONNECTICUT AVENUE NW,2,3,3G,001100 1,1100,393374,144281
9/28/2015 11:00,THEFT F/AUTO,OTHERS,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,1,6,6B,006500 1,6500,400232,135255
9/28/2015 13:10,ROBBERY,OTHERS,1500 - 1599 BLOCK OF NEW HAMPSHIRE AVENUE NW,2,2,2B,004202 1,4202,396312,138086
9/23/2015 9:40,ASSAULT W/DANGEROUS WEAPON,GUN,BENNING ROAD NE AND 19TH STREET NE,5,5,6A,008904 2,8904,402042.2997,136783.7992
9/27/2015 13:15,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF HALF STREET SW,1,6,6D,006400 2,6400,399075,133729
9/28/2015 14:38,THEFT F/AUTO,OTHERS,4100 - 4276 BLOCK OF EAST CAPITOL STREET,6,7,7F,007703 1,7703,405084,135772
9/27/2015 18:00,THEFT/OTHER,OTHERS,3601 - 3638 BLOCK OF GEORGIA AVENUE NW,4,1,1A,003100 1,3100,397912,140776
9/28/2015 13:30,THEFT F/AUTO,OTHERS,100 - 199 BLOCK OF L STREET NE,1,6,6C,010600 2,10600,399589.87,137319.55
9/26/2015 14:48,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF H STREET NE,1,6,6A,008402 2,8402,400489,136927
9/28/2015 6:35,THEFT F/AUTO,OTHERS,LAUREL STREET NW AND SANDY SPRING ROAD NW,4,4,4B,001702 2,1702,398694.25,144832.07
9/28/2015 15:09,ASSAULT W/DANGEROUS WEAPON,KNIFE,3300 - 3399 BLOCK OF 18TH STREET SE,7,8,8E,007403 1,7403,401839,130997
9/28/2015 16:01,THEFT/OTHER,OTHERS,1100 - 1121 BLOCK OF BLADENSBURG ROAD NE,5,5,5D,008804 2,8804,401671,137371
9/24/2015 11:37,BURGLARY,OTHERS,1000 - 1099 BLOCK OF 51ST STREET NE,6,7,7C,007806 1,7806,406394,137363
9/25/2015 22:00,THEFT/OTHER,OTHERS,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,2,2,2B,005500 1,5500,396217,138008
9/25/2015 12:00,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF MASSACHUSETTS AVENUE SE,1,6,6B,006802 1,6802,401892,135229
10/4/2015 0:47,ROBBERY,OTHERS,1500 - 1599 BLOCK OF KINGMAN PLACE NW,3,2,2F,005001 2,5001,397320,138058
10/4/2015 1:30,ASSAULT W/DANGEROUS WEAPON,GUN,4700 - 4799 BLOCK OF 1ST STREET SW,7,8,8D,010900 2,10900,399521,128329
10/4/2015 2:18,THEFT F/AUTO,OTHERS,1700 - 1799 BLOCK OF N STREET NW,2,2,2B,010700 2,10700,396522,137709
10/4/2015 2:00,ROBBERY,GUN,734 - 855 BLOCK OF SOUTHERN AVENUE SE,7,8,8D,009811 2,9811,400489,128759
10/4/2015 0:01,THEFT F/AUTO,OTHERS,1700 - 1799 BLOCK OF N STREET NW,2,2,2B,010700 2,10700,396522,137709
10/3/2015 23:30,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF MORSE STREET NE,5,5,5D,008803 1,8803,400139,137702
10/4/2015 3:58,THEFT F/AUTO,OTHERS,12TH STREET NW AND EASTERN AVENUE NW,4,4,4A,,,397566.34,146420.89
10/4/2015 3:07,ASSAULT W/DANGEROUS WEAPON,OTHERS,400 - 499 BLOCK OF PARK ROAD NW,4,1,1A,003200 3,3200,398299,140521
10/4/2015 1:30,THEFT/OTHER,OTHERS,2000 - 2099 BLOCK OF 31ST STREET SE,6,7,7B,007604 2,7604,403199,133032
10/4/2015 4:25,THEFT F/AUTO,OTHERS,2000 - 2199 BLOCK OF PERRY STREET NE,5,5,5C,009400 4,9400,402150,140920
10/14/2015 17:20,THEFT/OTHER,OTHERS,100  - 199 BLOCK OF CARROLL STREET NW,4,4,4B,001702 2,1702,398758,145213
10/14/2015 17:51,MOTOR VEHICLE THEFT,OTHERS,500 599  BLOCK OF 25TH PLACE NE,5,7,7D,007903 1,7903,402470,136577
10/14/2015 15:40,ROBBERY,KNIFE,3000 - 3099 BLOCK OF 14TH STREET NW,3,1,1A,002802 1,2802,397174,140033
10/14/2015 18:15,ASSAULT W/DANGEROUS WEAPON,KNIFE,100 - 199 BLOCK OF 16TH STREET SE,1,6,6B,006801 2,6801,401542,135587
10/19/2015 11:41,THEFT/OTHER,OTHERS,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,5,5,5C,009102 2,9102,400840,139142
10/19/2015 10:45,THEFT F/AUTO,OTHERS,6600  - 6699 BLOCK OF 6TH STREET NW,4,4,4B,001702 1,1702,398144,144742
10/19/2015 13:10,THEFT/OTHER,OTHERS,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001804 2,1804,397577,143785
10/9/2015 17:30,BURGLARY,OTHERS,2000 - 2029 BLOCK OF S STREET NW,2,2,2B,004202 2,4202,396058,138470
10/19/2015 12:14,ROBBERY,OTHERS,2301 - 2309 BLOCK OF GOOD HOPE ROAD SE,6,8,8B,007502 1,7502,402402,132784
10/19/2015 13:24,ARSON,OTHERS,800 - 899 BLOCK OF 21ST STREET NE,5,5,5D,008904 1,8904,402239,137071
10/19/2015 13:13,THEFT/OTHER,OTHERS,2100 - 2199 BLOCK OF E STREET NW,2,2,2A,010800 3,10800,395892.73,136464.35
10/19/2015 12:34,THEFT/OTHER,OTHERS,1700 - 1799 BLOCK OF H STREET NW,2,2,2B,010700 1,10700,396480,136929
10/19/2015 13:23,THEFT/OTHER,OTHERS,2700 - 2799 BLOCK OF O STREET SE,6,7,7B,007709 2,7709,402745,133901
10/19/2015 11:26,THEFT F/AUTO,OTHERS,900 - 999 BLOCK OF NEW YORK AVENUE NW,1,2,2C,005800 1,5800,397831,137105
10/19/2015 6:30,BURGLARY,OTHERS,1600 - 1899 BLOCK OF W STREET SE,7,8,8A,007504 1,7504,401712,132801
10/19/2015 12:30,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF I STREET NW,2,2,2B,010700 1,10700,396306,137054
10/19/2015 12:00,THEFT F/AUTO,OTHERS,1700  - 1799 BLOCK OF TAYLOR STREET NW,4,4,4A,002600 1,2600,396550,141436
10/19/2015 13:18,THEFT/OTHER,OTHERS,740 - 899 BLOCK OF KENILWORTH AVENUE NE,6,7,7D,009602 1,9602,404691,137003
10/19/2015 14:40,THEFT/OTHER,OTHERS,1325 - 1399 BLOCK OF PARK ROAD NW,3,1,1A,003000 1,3000,397241,140302
10/19/2015 11:30,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF 29TH STREET NW,2,2,2E,000100 3,100,394952,138009
10/19/2015 15:12,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF EAST CAPITOL STREET,1,6,6B,006700 1,6700,401338,135773
10/18/2015 15:00,THEFT/OTHER,OTHERS,200 - 399 BLOCK OF V STREET NW,3,1,1B,003400 1,3400,398594,138960
10/19/2015 7:00,THEFT F/AUTO,OTHERS,200 - 249 BLOCK OF I STREET SE,1,6,6D,007200 1,7200,399719,134605
